Company,Location,Sector,About,Amount,Stage,Funding Year
Monech,Mumbai,Fintech,Automated platform which will help users to take their financial decisions,154.02,Early Stage,2020
Teach Us,Hyderabad,Edtech,Educational portal which enables the students to access information related to education at one common platform,154.02,Early Stage,2020
Dealberg,Bengaluru,B2B marketplace,Deals in office supplies,36382.05,Late Stage,2020
Phenom People,Hyderabad,HR tech,It redefines the means to search for a job and recruit top talent,363820.45,Mid Stage,2020
Extra Edge,Pune,Edtech,Admission Marketing Automation software for the education industry,8489.14,Other Stages,2020
Capital Quotient,Bengaluru,Fintech,Investment advisor,7276.41,Mid Stage,2020
Karfa,New Delhi,Ecommerce,It sells products crafted by artisans,303.18,Early Stage,2020
Gamerji,Ahmedabad,Gaming,Esports tournament platform,4850.94,Other Stages,2020
Bounce,Bengaluru,Automotive and Rentals,Offers a variety of bikes and scooters that can be rented on a subscription basis,1182416.47,Late Stage,2020
Zinier,Bengaluru,Automation,Provides intelligent field service automation,1091461.36,Mid Stage,2020
ProEves,New Delhi,Preschool Daycare,"Provides tech-enabled, end-to-end childcare support solutions for corporate and retail consumers",6148.57,Early Stage,2020
Toddle,Bengaluru,EdTech,Collaboration and productivity platform for teachers across the world,36382.05,Mid Stage,2020
Aesthetic Nutrition,New Delhi,Food diet,Markets and sells chewable dietary supplements,36382.05,Other Stages,2020
Capital Float,Bengaluru,Fintech,Digital lending,181910.23,Mid Stage,2020
Ninjacart,Bengaluru,B2B Agritech,Online grocery delivery platform,121273.48,Mid Stage,2020
TechnifyBiz,New Delhi,B2B Agritech,Online marketplace for non-perishable food items,24254.7,Early Stage,2020
Wysh,Hyderabad,E-connect,Celebrity engagement and wishing platform,24254.7,Mid Stage,2020
Keito,Pune,AI,Enterprise productivity startup,1940.38,Early Stage,2020
Klub,Bengaluru,Fintech,Provides growth financing to high-affinity brands,24254.7,Other Stages,2020
Aadhar,Mumbai,Ecommerce,Ayurveda wellness and lifestyle consumer brand,36382.05,Early Stage,2020
IncubateHub,Bengaluru,Tech hub,Provides platform for Corporates to connect establish brand presence among innovation community,36382.05,Mid Stage,2020
Rage Coffee,New Delhi,FMCG,Provides effective Instant Coffee Infused with Natural Brain Vitamins & Plant Based Cognitive Enhancers,36382.05,Mid Stage,2020
Skilancer,Noida,Technology,Solar module cleaning system [MCS] providers,36382.05,Other Stages,2020
Harappa Education,New Delhi,Edtech,Provides online courses on foundational skills,36382.05,Mid Stage,2020
Rheo,Bengaluru,Entertainment,Online e-sports streaming and community platform,24254.7,Early Stage,2020
Axio Biosolutions,Bengaluru,Medtech,Medical device manufacturer,63062.21,Mid Stage,2020
Techbooze,New Delhi,Consultancy,"Business Development, Consulting and Funding facilitator for Startups Enterprise",181910.23,Mid Stage,2020
PayMart,Chandigarh,Fintech,Provides cardless cash withdrawals through small merchants shops,36382.05,Early Stage,2020
Testbook,Mumbai,Edtech,Helps students prepare online for competitive exams,101869.73,Mid Stage,2020
FabAlley,Noida,Ecommerce,Online fashion store,13340.08,Other Stages,2020
HaikuJAM,Mumbai,EdTech,Creative writing mobile platform,41232.98,Early Stage,2020
Mamaearth,Gurugram,Ecommerce,Online baby and mother care brand,221930.48,Mid Stage,2020
Rentomojo,Bengaluru,Rental,"Furniture, electronics, and appliance-centric consumer leasing platform",24254.7,Other Stages,2020
Zomato,Gurugram,Foodtech,Online food delivery and restaurant discovery platform,1819102.26,Mid Stage,2020
Byju,Bengaluru,Edtech,Provides online learning classes,2425469.68,Mid Stage,2020
Generico,Mumbai,Pharmacy,Generic medicine focussed retail chain,16978.29,Mid Stage,2020
HighRadius,Hyderabad,SaaS,"An AI-based platform, to automate accounts receivables and treasury processes.",1515918.55,Mid Stage,2020
Chai Kings,Chennai,Beverage,It offers a range of tea in various flavour,12127.35,Mid Stage,2020
Rivigo,Gurugram,Logistics,"It offers delivery services across India to retail, e-commerce, pharmaceutical, automobile and FMCG companies",41232.98,Late Stage,2020
BuildPan,Indore,SaaS,"It helps developers to test, integrate and deploy apps",36382.05,Early Stage,2020
Shiksha,Noida,Edtech,It makes college selection easy for students looking to pursue UG and PG courses in India and abroad,2195.05,Mid Stage,2020
Super Surfaces,Hyderabad,Deisgning,A design solution based company,6063.67,Mid Stage,2020
Quicko,Ahmedabad,Taxation,Online tax planning and filing platform,3395.66,Mid Stage,2020
Satin Creditcare,Gurugram,Fintech,A micro finance company,181910.23,Early Stage,2020
XpressBees,Pune,Logistics,Provides end to end supply chain solutions,121273.48,Early Stage,2020
FarmERP,Pune,Agritech,Smart agriculture management ERP software platform,36382.05,Mid Stage,2020
Wealth Bucket,Bengaluru,Fintech,An online platform for mutual fund investments,36382.05,Other Stages,2020
GoMechanic,New Delhi,Automobile Technology,Find automobile repair and maintenance service providers,178272.02,Mid Stage,2020
Fashor,Chennai,Fashion,Women’s fashion and apparel,12127.35,Other Stages,2020
Leverage Edu,New Delhi,Edtech,AI enabled marketplace that provides career guidance,18191.02,Mid Stage,2020
EpiFi,New Delhi,Fintech,It offers customers with a single interface for all their financial and banking mandates,160081.0,Early Stage,2020
Purplle,Mumbai,Cosmetics,Online makeup and beauty products retailer,97018.79,Other Stages,2020
Shuttl,New Delhi,Transport,App based bus aggregator serice,97540.26,Mid Stage,2020
Pando,Chennai,Logitech,Networked logistics management software,109146.14,Mid Stage,2020
